source_country,destination_country,source_airport,source_lat,source_lon,destination_lat,destination_lon,destination_airport,num_direct_flights,num_connecting_flights
United States,Germany,John F Kennedy International Airport,40.63980103,-73.77890015,50.033333,8.570556,Frankfurt am Main Airport,8,0
United States,United States,John F Kennedy International Airport,40.63980103,-73.77890015,36.08010101,-115.1520004,McCarran International Airport,8,0
United States,United States,McCarran International Airport,36.08010101,-115.1520004,40.63980103,-73.77890015,John F Kennedy International Airport,8,0
United Kingdom,United States,London Heathrow Airport,51.4706,-0.461941,33.6367,-84.428101,Hartsfield Jackson Atlanta International Airport,8,0
United States,United States,Kansas City International Airport,39.2976,-94.713898,33.6367,-84.428101,Hartsfield Jackson Atlanta International Airport,8,0
United States,United States,Orlando International Airport,28.42939949,-81.30899811,33.6367,-84.428101,Hartsfield Jackson Atlanta International Airport,8,0
Japan,Thailand,Narita International Airport,35.76470184,140.3860016,13.68109989,100.7470016,Suvarnabhumi Airport,8,0
Japan,Singapore,Narita International Airport,35.76470184,140.3860016,1.35019,103.994003,Singapore Changi Airport,8,0
United States,United States,Palm Beach International Airport,26.68320084,-80.09559631,33.6367,-84.428101,Hartsfield Jackson Atlanta International Airport,8,0
United States,United States,Southwest Florida International Airport,26.53619957,-81.75520325,33.6367,-84.428101,Hartsfield Jackson Atlanta International Airport,8,0
United States,United States,San Diego International Airport,32.73360062,-117.1900024,33.6367,-84.428101,Hartsfield Jackson Atlanta International Airport,8,0
Singapore,Japan,Singapore Changi Airport,1.35019,103.994003,35.76470184,140.3860016,Narita International Airport,8,0
Puerto Rico,United States,Luis Munoz Marin International Airport,18.43939972,-66.00180054,33.6367,-84.428101,Hartsfield Jackson Atlanta International Airport,8,0
United States,United States,St Louis Lambert International Airport,38.748697,-90.370003,33.6367,-84.428101,Hartsfield Jackson Atlanta International Airport,8,0
United States,United States,Tampa International Airport,27.97550011,-82.53320313,33.6367,-84.428101,Hartsfield Jackson Atlanta International Airport,8,0
Ghana,Cote d'Ivoire,Kotoka International Airport,5.6051898,-0.166786,5.261390209,-3.926290035,Port Bouet Airport,8,0
Australia,New Zealand,Brisbane International Airport,-27.38419914,153.1170044,-37.0080986,174.7920074,Auckland International Airport,8,0
Australia,New Zealand,Melbourne International Airport,-37.673302,144.843002,-37.0080986,174.7920074,Auckland International Airport,8,0
Benin,Cote d'Ivoire,Cadjehoun Airport,6.357230186,2.384350061,5.261390209,-3.926290035,Port Bouet Airport,8,0
Niger,Burkina Faso,Diori Hamani International Airport,13.4815,2.18361,12.3532,-1.51242,Ouagadougou Airport,8,0
United Arab Emirates,Bahrain,Abu Dhabi International Airport,24.43300056,54.65110016,26.27079964,50.63359833,Bahrain International Airport,8,0
Bahrain,United Arab Emirates,Bahrain International Airport,26.27079964,50.63359833,24.43300056,54.65110016,Abu Dhabi International Airport,8,0
