airport_id,airport_name,airport_country,num_outbound_flights,num_inbound_flights,num_connecting_flights
2964,Platov International Airport,Russia,28,28,0
2990,Kazan International Airport,Russia,28,28,0
3685,Gerald R. Ford International Airport,United States,28,28,0
1957,Philip S. W. Goldson International Airport,Belize,28,28,0
3321,Gold Coast Airport,Australia,28,28,0
1997,Bauerfield International Airport,Vanuatu,28,28,0
1515,Vincenzo Florio Airport Trapani-Birgi,Italy,28,28,0
671,Katowice International Airport,Poland,28,28,0
1044,Modibo Keita International Airport,Mali,28,27,0
2050,Hamid Karzai International Airport,Afghanistan,28,26,0
3807,Reno Tahoe International Airport,United States,27,29,0
